0,99999999,1,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,0,99999999,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
1,99999999,0,99999999,1,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
1,1,99999999,0,99999999,99999999,1,1,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,1,99999999,0,1,99999999,99999999,99999999,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,1,99999999,1,0,1,99999999,99999999,1,99999999,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,99999999,1,99999999,1,0,99999999,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,99999999,1,99999999,99999999,99999999,0,99999999,99999999,1,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,99999999,1,99999999,99999999,1,99999999,0,99999999,1,99999999,1,99999999,1,99999999,99999999,99999999,99999999,99999999
99999999,99999999,99999999,99999999,1,1,99999999,99999999,99999999,0,99999999,1,99999999,99999999,99999999,1,99999999,99999999,99999999,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,1,99999999,0,99999999,1,1,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,99999999,99999999,99999999,1,99999999,99999999,99999999,1,99999999,0,99999999,99999999,1,1,1,99999999,99999999,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,1,99999999,0,1,1,99999999,99999999,99999999,1,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,1,0,99999999,99999999,99999999,1,1,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,99999999,1,1,99999999,0,99999999,1,99999999,1,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,1,99999999,99999999,99999999,0,1,99999999,99999999,1
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,99999999,1,1,0,99999999,99999999,1
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,99999999,99999999,99999999,0,1,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,1,1,99999999,99999999,1,0,99999999
99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1,1,99999999,99999999,0
